cleanup_priority,priority_reason,series,issue_number,comic,run_status,collection_status,current_story,suggested_metadata_arc,suggested_story_title,suggested_part_label,suggested_metadata_role,suggestion_source,decision_id,decision_status,suggested_next_action
High,Owned issue in configured run needs story metadata.,Batman,467,Batman #467,owned,Yes,TBC,,,,,needs_research,META-BATMAN-467,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Batman,468,Batman #468,owned,Yes,TBC,,,,,needs_research,META-BATMAN-468,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Batman,469,Batman #469,owned,Yes,TBC,,,,,needs_research,META-BATMAN-469,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Batman,470,Batman #470,owned,Yes,TBC,,,,,needs_research,META-BATMAN-470,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Batman,471,Batman #471,owned,Yes,TBC,,,,,needs_research,META-BATMAN-471,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Batman,472,Batman #472,owned,Yes,TBC,,,,,needs_research,META-BATMAN-472,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Batman,473,Batman #473,owned,Yes,TBC,,,,,needs_research,META-BATMAN-473,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Batman,474,Batman #474,owned,Yes,TBC,,,,,needs_research,META-BATMAN-474,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Batman,476,Batman #476,owned,Yes,TBC,,,,,needs_research,META-BATMAN-476,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Batman,535,Batman #535,owned,Yes,TBC,,,,,needs_research,META-BATMAN-535,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Batman,537,Batman #537,owned,Yes,TBC,,,,,needs_research,META-BATMAN-537,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Batman,538,Batman #538,owned,Yes,TBC,,,,,needs_research,META-BATMAN-538,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Batman,539,Batman #539,owned,Yes,TBC,,,,,needs_research,META-BATMAN-539,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Batman,541,Batman #541,owned,Yes,TBC,,,,,needs_research,META-BATMAN-541,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Batman,542,Batman #542,owned,Yes,TBC,,,,,needs_research,META-BATMAN-542,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Batman,543,Batman #543,owned,Yes,TBC,,,,,needs_research,META-BATMAN-543,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Batman,544,Batman #544,owned,Yes,TBC,,,,,needs_research,META-BATMAN-544,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Batman,545,Batman #545,owned,Yes,TBC,,,,,needs_research,META-BATMAN-545,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Batman,548,Batman #548,owned,Yes,TBC,,,,,needs_research,META-BATMAN-548,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Batman,549,Batman #549,owned,Yes,TBC,,,,,needs_research,META-BATMAN-549,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Detective Comics,570,Detective Comics #570,owned,Yes,TBC,,,,,needs_research,META-DETECTIVE-COMICS-570,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Detective Comics,588,Detective Comics #588,owned,Yes,TBC,,,,,needs_research,META-DETECTIVE-COMICS-588,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Detective Comics,595,Detective Comics #595,owned,Yes,TBC,,,,,needs_research,META-DETECTIVE-COMICS-595,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Detective Comics,601,Detective Comics #601,owned,Yes,TBC,,,,,needs_research,META-DETECTIVE-COMICS-601,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Detective Comics,610,Detective Comics #610,owned,Yes,TBC,,,,,needs_research,META-DETECTIVE-COMICS-610,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Detective Comics,616,Detective Comics #616,owned,Yes,TBC,,,,,needs_research,META-DETECTIVE-COMICS-616,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Detective Comics,617,Detective Comics #617,owned,Yes,TBC,,,,,needs_research,META-DETECTIVE-COMICS-617,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Detective Comics,624,Detective Comics #624,owned,Yes,TBC,,,,,needs_research,META-DETECTIVE-COMICS-624,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Detective Comics,625,Detective Comics #625,owned,Yes,TBC,,,,,needs_research,META-DETECTIVE-COMICS-625,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Detective Comics,626,Detective Comics #626,owned,Yes,TBC,,,,,needs_research,META-DETECTIVE-COMICS-626,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Detective Comics,627,Detective Comics #627,owned,Yes,TBC,,,,,needs_research,META-DETECTIVE-COMICS-627,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Detective Comics,628,Detective Comics #628,owned,Yes,TBC,,,,,needs_research,META-DETECTIVE-COMICS-628,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Detective Comics,629,Detective Comics #629,owned,Yes,TBC,,,,,needs_research,META-DETECTIVE-COMICS-629,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Detective Comics,631,Detective Comics #631,owned,Yes,TBC,,,,,needs_research,META-DETECTIVE-COMICS-631,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Detective Comics,633,Detective Comics #633,owned,Yes,TBC,,,,,needs_research,META-DETECTIVE-COMICS-633,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Detective Comics,634,Detective Comics #634,owned,Yes,TBC,,,,,needs_research,META-DETECTIVE-COMICS-634,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Detective Comics,635,Detective Comics #635,owned,Yes,TBC,,,,,needs_research,META-DETECTIVE-COMICS-635,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Detective Comics,636,Detective Comics #636,owned,Yes,TBC,,,,,needs_research,META-DETECTIVE-COMICS-636,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Detective Comics,637,Detective Comics #637,owned,Yes,TBC,,,,,needs_research,META-DETECTIVE-COMICS-637,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Detective Comics,638,Detective Comics #638,owned,Yes,TBC,,,,,needs_research,META-DETECTIVE-COMICS-638,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Detective Comics,640,Detective Comics #640,owned,Yes,TBC,,,,,needs_research,META-DETECTIVE-COMICS-640,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Detective Comics,642,Detective Comics #642,owned,Yes,TBC,,,,,needs_research,META-DETECTIVE-COMICS-642,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Detective Comics,643,Detective Comics #643,owned,Yes,TBC,,,,,needs_research,META-DETECTIVE-COMICS-643,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Detective Comics,644,Detective Comics #644,owned,Yes,TBC,,,,,needs_research,META-DETECTIVE-COMICS-644,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Detective Comics,645,Detective Comics #645,owned,Yes,TBC,,,,,needs_research,META-DETECTIVE-COMICS-645,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Detective Comics,646,Detective Comics #646,owned,Yes,TBC,,,,,needs_research,META-DETECTIVE-COMICS-646,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Detective Comics,649,Detective Comics #649,owned,Yes,TBC,,,,,needs_research,META-DETECTIVE-COMICS-649,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Detective Comics,650,Detective Comics #650,owned,Yes,TBC,,,,,needs_research,META-DETECTIVE-COMICS-650,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Detective Comics,651,Detective Comics #651,owned,Yes,TBC,,,,,needs_research,META-DETECTIVE-COMICS-651,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Detective Comics,652,Detective Comics #652,owned,Yes,TBC,,,,,needs_research,META-DETECTIVE-COMICS-652,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Detective Comics,653,Detective Comics #653,owned,Yes,TBC,,,,,needs_research,META-DETECTIVE-COMICS-653,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Detective Comics,683,Detective Comics #683,owned,Yes,TBC,,,,,needs_research,META-DETECTIVE-COMICS-683,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Detective Comics,684,Detective Comics #684,owned,Yes,TBC,,,,,needs_research,META-DETECTIVE-COMICS-684,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Detective Comics,685,Detective Comics #685,owned,Yes,TBC,,,,,needs_research,META-DETECTIVE-COMICS-685,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Detective Comics,686,Detective Comics #686,owned,Yes,TBC,,,,,needs_research,META-DETECTIVE-COMICS-686,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Detective Comics,687,Detective Comics #687,owned,Yes,TBC,,,,,needs_research,META-DETECTIVE-COMICS-687,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Detective Comics,688,Detective Comics #688,owned,Yes,TBC,,,,,needs_research,META-DETECTIVE-COMICS-688,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Detective Comics,689,Detective Comics #689,owned,Yes,TBC,,,,,needs_research,META-DETECTIVE-COMICS-689,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Detective Comics,690,Detective Comics #690,owned,Yes,TBC,,,,,needs_research,META-DETECTIVE-COMICS-690,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Detective Comics,693,Detective Comics #693,owned,Yes,TBC,,,,,needs_research,META-DETECTIVE-COMICS-693,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Detective Comics,694,Detective Comics #694,owned,Yes,TBC,,,,,needs_research,META-DETECTIVE-COMICS-694,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Warhammer Monthly,0,Warhammer Monthly #00,owned,Yes,,,,,,needs_research,META-WARHAMMER-MONTHLY-0,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Warhammer Monthly,1,Warhammer Monthly #01,owned,Yes,,,,,,needs_research,META-WARHAMMER-MONTHLY-1,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Warhammer Monthly,10,Warhammer Monthly #10,owned,Yes,,,,,,needs_research,META-WARHAMMER-MONTHLY-10,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Warhammer Monthly,11,Warhammer Monthly #11,owned,Yes,,,,,,needs_research,META-WARHAMMER-MONTHLY-11,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Warhammer Monthly,12,Warhammer Monthly #12,owned,Yes,,,,,,needs_research,META-WARHAMMER-MONTHLY-12,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Warhammer Monthly,13,Warhammer Monthly #13,owned,Yes,,,,,,needs_research,META-WARHAMMER-MONTHLY-13,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Warhammer Monthly,14,Warhammer Monthly #14,owned,Yes,,,,,,needs_research,META-WARHAMMER-MONTHLY-14,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Warhammer Monthly,15,Warhammer Monthly #15,owned,Yes,,,,,,needs_research,META-WARHAMMER-MONTHLY-15,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Warhammer Monthly,16,Warhammer Monthly #16,owned,Yes,,,,,,needs_research,META-WARHAMMER-MONTHLY-16,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Warhammer Monthly,17,Warhammer Monthly #17,owned,Yes,,,,,,needs_research,META-WARHAMMER-MONTHLY-17,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Warhammer Monthly,18,Warhammer Monthly #18,owned,Yes,,,,,,needs_research,META-WARHAMMER-MONTHLY-18,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Warhammer Monthly,19,Warhammer Monthly #19,owned,Yes,,,,,,needs_research,META-WARHAMMER-MONTHLY-19,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Warhammer Monthly,2,Warhammer Monthly #02,owned,Yes,,,,,,needs_research,META-WARHAMMER-MONTHLY-2,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Warhammer Monthly,20,Warhammer Monthly #20,owned,Yes,,,,,,needs_research,META-WARHAMMER-MONTHLY-20,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Warhammer Monthly,21,Warhammer Monthly #21,owned,Yes,,,,,,needs_research,META-WARHAMMER-MONTHLY-21,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Warhammer Monthly,22,Warhammer Monthly #22,owned,Yes,,,,,,needs_research,META-WARHAMMER-MONTHLY-22,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Warhammer Monthly,23,Warhammer Monthly #23,owned,Yes,,,,,,needs_research,META-WARHAMMER-MONTHLY-23,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Warhammer Monthly,24,Warhammer Monthly #24,owned,Yes,,,,,,needs_research,META-WARHAMMER-MONTHLY-24,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Warhammer Monthly,25,Warhammer Monthly #25,owned,Yes,,,,,,needs_research,META-WARHAMMER-MONTHLY-25,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Warhammer Monthly,26,Warhammer Monthly #26,owned,Yes,,,,,,needs_research,META-WARHAMMER-MONTHLY-26,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Warhammer Monthly,27,Warhammer Monthly #27,owned,Yes,,,,,,needs_research,META-WARHAMMER-MONTHLY-27,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Warhammer Monthly,28,Warhammer Monthly #28,owned,Yes,,,,,,needs_research,META-WARHAMMER-MONTHLY-28,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Warhammer Monthly,29,Warhammer Monthly #29,owned,Yes,,,,,,needs_research,META-WARHAMMER-MONTHLY-29,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Warhammer Monthly,3,Warhammer Monthly #03,owned,Yes,,,,,,needs_research,META-WARHAMMER-MONTHLY-3,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Warhammer Monthly,30,Warhammer Monthly #30,owned,Yes,,,,,,needs_research,META-WARHAMMER-MONTHLY-30,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Warhammer Monthly,31,Warhammer Monthly #31,owned,Yes,,,,,,needs_research,META-WARHAMMER-MONTHLY-31,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Warhammer Monthly,32,Warhammer Monthly #32,owned,Yes,,,,,,needs_research,META-WARHAMMER-MONTHLY-32,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Warhammer Monthly,33,Warhammer Monthly #33,owned,Yes,,,,,,needs_research,META-WARHAMMER-MONTHLY-33,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Warhammer Monthly,34,Warhammer Monthly #34,owned,Yes,,,,,,needs_research,META-WARHAMMER-MONTHLY-34,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Warhammer Monthly,35,Warhammer Monthly #35,owned,Yes,,,,,,needs_research,META-WARHAMMER-MONTHLY-35,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
High,Owned issue in configured run needs story metadata.,Warhammer Monthly,36,Warhammer Monthly #36,owned,Yes,,,,,,needs_research,META-WARHAMMER-MONTHLY-36,needs_decision,"Research/confirm the arc, then add a row to data/reference/story_metadata_decisions.csv or data/reference/issue_metadata.csv."
