item_id,parent_item_id,sequence_within_parent,required_or_optional,relationship_type,notes
dark_knight_dark_city,modern_local_year_one_to_knightfall,008,recommended,contains,Chronology/component relationship; exact continuity placement may be parallel where noted.
tim_drake_becomes_robin,modern_local_year_one_to_knightfall,009,recommended,contains,Chronology/component relationship; exact continuity placement may be parallel where noted.
prelude_to_knightfall,modern_local_year_one_to_knightfall,010,required,contains,Chronology/component relationship; exact continuity placement may be parallel where noted.
knightfall_era,modern_local_year_one_to_knightfall,011,recommended,contains,Chronology/component relationship; exact continuity placement may be parallel where noted.
lotdk_shaman,legends_dark_knight_early,001,required,contains,Early Legends publication-order component.
lotdk_gothic,legends_dark_knight_early,002,required,contains,Early Legends publication-order component.
lotdk_prey,legends_dark_knight_early,003,required,contains,Early Legends publication-order component.
lotdk_venom,legends_dark_knight_early,004,required,contains,Early Legends publication-order component.
lotdk_faith,legends_dark_knight_early,005,required,contains,Early Legends publication-order component.
lotdk_flyer,legends_dark_knight_early,006,required,contains,Early Legends publication-order component.
destroyer,legends_dark_knight_early,007,required,contains,Early Legends publication-order component.
lotdk_faces,legends_dark_knight_early,008,required,contains,Early Legends publication-order component.
lotdk_blades,legends_dark_knight_early,009,required,contains,Early Legends publication-order component.
robin_reborn,tim_drake_becomes_robin,001,required,contains,Tim Drake Robin development component.
robin_jokers_wild,tim_drake_becomes_robin,002,required,contains,Tim Drake Robin development component.
robin_cry_of_the_huntress,tim_drake_becomes_robin,003,required,contains,Tim Drake Robin development component.
sword_of_azrael,prelude_to_knightfall,001,required,character_setup_for,Direct setup for Knightfall.
vengeance_of_bane,prelude_to_knightfall,002,required,character_setup_for,Direct setup for Knightfall.
countdown_to_infinite_crisis,infinite_crisis_buildup,001,required,contains,Buildup scope component.
the_omac_item,infinite_crisis_buildup,002,required,contains,Buildup scope component.
villains_united,infinite_crisis_buildup,003,required,contains,Buildup scope component.
day_of_vengeance,infinite_crisis_buildup,004,required,contains,Buildup scope component.
rann_thanagar_war,infinite_crisis_buildup,005,required,contains,Buildup scope component.
identity_crisis_context,infinite_crisis_buildup,006,recommended,contains,Buildup scope component.
jla_crisis_of_conscience,infinite_crisis_buildup,007,recommended,contains,Buildup scope component.
countdown_weekly_series,countdown_final_crisis,001,required,contains,Core weekly run #51-1.
dc_universe_zero,countdown_final_crisis,002,optional,leads_into,Transition into Final Crisis; not Countdown #0.
countdown_to_adventure,countdown_final_crisis,003,optional,optional_extended,Companion or related Countdown-era item.
countdown_to_mystery,countdown_final_crisis,004,optional,optional_extended,Companion or related Countdown-era item.
countdown_search_ray_palmer,countdown_final_crisis,005,optional,optional_extended,Companion or related Countdown-era item.
countdown_lord_havok_extremists,countdown_final_crisis,006,optional,optional_extended,Companion or related Countdown-era item.
countdown_arena,countdown_final_crisis,007,optional,optional_extended,Companion or related Countdown-era item.
crime_bible_five_lessons,countdown_final_crisis,008,optional,optional_extended,Companion or related Countdown-era item.
black_adam_dark_age,countdown_final_crisis,009,optional,optional_extended,Companion or related Countdown-era item.
salvation_run,countdown_final_crisis,010,optional,optional_extended,Companion or related Countdown-era item.
death_of_the_new_gods,countdown_final_crisis,011,optional,optional_extended,Companion or related Countdown-era item.
countdown_final_crisis,final_crisis,001,context,leads_into,Countdown / Countdown to Final Crisis leads into Final Crisis; items remain separate.
